ID,Modello,Difficoltà,Numero tessere,Dimensione scacchiera,Tempo esecuzione (s),Totale tessere,Tessere inserite,Tessere non inserite,solver,batch,Modello_Solver
1,domino_orientamento,easy,3,4,0.9168367385864258,3,3,0,Gecode,0,domino_orientamento_Gecode
1,domino_posizione,easy,3,4,0.1079330444335937,3,3,0,Gecode,0,domino_posizione_Gecode
1,domino_base,easy,3,4,0.1022021770477294,3,3,0,Gecode,0,domino_base_Gecode
1,domino_inserite,easy,3,4,0.1036972999572753,3,3,0,Gecode,0,domino_inserite_Gecode
2,domino_orientamento,easy,5,5,0.1500940322875976,5,5,0,Gecode,0,domino_orientamento_Gecode
2,domino_posizione,easy,5,5,0.3297383785247803,5,5,0,Gecode,0,domino_posizione_Gecode
2,domino_base,easy,5,5,0.1417906284332275,5,5,0,Gecode,0,domino_base_Gecode
2,domino_inserite,easy,5,5,0.1455230712890625,5,5,0,Gecode,0,domino_inserite_Gecode
3,domino_orientamento,easy,5,4,1.25233793258667,5,3,2,Gecode,0,domino_orientamento_Gecode
3,domino_posizione,easy,5,4,3.2015485763549805,5,3,2,Gecode,0,domino_posizione_Gecode
3,domino_base,easy,5,4,1.5126216411590576,5,3,2,Gecode,0,domino_base_Gecode
3,domino_inserite,easy,5,4,1.0065507888793943,5,3,2,Gecode,0,domino_inserite_Gecode
4,domino_orientamento,easy,4,2,0.1083755493164062,4,0,4,Gecode,0,domino_orientamento_Gecode
4,domino_posizione,easy,4,2,0.1092326641082763,4,0,4,Gecode,0,domino_posizione_Gecode
4,domino_base,easy,4,2,0.1129710674285888,4,0,4,Gecode,0,domino_base_Gecode
4,domino_inserite,easy,4,2,0.1258580684661865,4,0,4,Gecode,0,domino_inserite_Gecode
5,domino_orientamento,medium,9,9,0.3083570003509521,9,9,0,Gecode,0,domino_orientamento_Gecode
5,domino_posizione,medium,9,9,300.1251492500305,9,5,4,Gecode,0,domino_posizione_Gecode
5,domino_base,medium,9,9,0.5841176509857178,9,9,0,Gecode,0,domino_base_Gecode
5,domino_inserite,medium,9,9,0.6356840133666992,9,9,0,Gecode,0,domino_inserite_Gecode
6,domino_orientamento,medium,8,8,0.2577829360961914,8,8,0,Gecode,0,domino_orientamento_Gecode
